番号	title	url
15	钉钉——基于IM技术的新一代企业OA平台的技术挑战(视频+PPT) [附件下载] 	http://www.52im.net/thread-527-1-1.html
22	这张IM架构图里为何消息到达logic后继续往后还要用到mq? 	http://www.52im.net/thread-3195-1-1.html
26	轻量级即时通讯框架MobileIMSDK的iOS源码（开源版）[附件下载] 	http://www.52im.net/thread-352-1-1.html
27	轻量级Web端即时通讯框架：MobileIMSDK-Web基本介绍 	http://www.52im.net/thread-959-1-1.html
29	谈谈移动端 IM 开发中登录请求的优化 	http://www.52im.net/thread-282-1-1.html
32	读懂微信：从1.0到7.0版本，一个主流IM社交工具的进化史 	http://www.52im.net/thread-2191-1-1.html
34	请问缓存消息丢失后IM服务端如何保证序列号的递增? 	http://www.52im.net/thread-3278-1-1.html
39	请问有人用过这个即时通讯（IM）的吗？ 	http://www.52im.net/thread-2110-1-1.html
40	请问有 IM 的tcp网关服务器这个说法吗？方案是怎样？ 	http://www.52im.net/thread-1390-1-1.html
43	请问知道怎么转金币吗？需要点金币下载MobileIMSDK iOS的demo 	http://www.52im.net/thread-660-1-1.html
45	请问下在IM的app客户端，消息根据什么来排序？ 	http://www.52im.net/thread-1119-1-1.html
47	请问一下：IM里全服消息广播该怎么做呢？ 	http://www.52im.net/thread-3542-1-1.html
50	请问MobileIMSDK支持分组通知吗 	http://www.52im.net/thread-473-1-1.html
51	请问MobileIMSDK在我这样一台阿里云Server上能支持的用户数大约多少？ 	http://www.52im.net/thread-612-1-1.html
52	请问IM中用户鉴权是在TCP链接建立前还是后的问题 	http://www.52im.net/thread-4137-1-1.html
53	请问IM中消息推送中如何实现消息中转投递？ 	http://www.52im.net/thread-838-1-1.html
54	请问IM中消息id在服务端存储时不是顺序的问题，该怎么处理？ 	http://www.52im.net/thread-3281-1-1.html
56	请问 MobileIMSDK-5.0 TCP协议IM，集群有什么好的解决方案？ 	http://www.52im.net/thread-3174-1-1.html
60	请教关于移动端IM的好友列表的拉取等问题？ 	http://www.52im.net/thread-993-1-1.html
63	请教用NIO框架MINA开发IM时的心跳和会话超时问题 	http://www.52im.net/thread-665-1-1.html
65	请教一下大家，IM里全服消息广播该怎么做呢？ 	http://www.52im.net/thread-3240-1-1.html
66	请教一下后端IM群聊中，群组和群成员这个表该如何拆分和设计？ 	http://www.52im.net/thread-3958-1-1.html
68	请教一下IM连接层该如何剔除失效的客户端连接，有什么好方案？ 	http://www.52im.net/thread-3298-1-1.html
69	请教一下IM的客户端如何保证消息的顺序 	http://www.52im.net/thread-3931-1-1.html
70	请教一下IM多端消息同步中，删除聊天消息指令在客户的同步问题 	http://www.52im.net/thread-4130-1-1.html
71	请教一下IM客户端聊天记录空洞的问题 	http://www.52im.net/thread-3291-1-1.html
73	请教一个Android的图片压缩方案，用于我的IM中 	http://www.52im.net/thread-700-1-1.html
74	请教有关IM中消息ID应该如何生成的疑惑 	http://www.52im.net/thread-3080-1-1.html
76	请教大佬，关于IM方案选型和技术调研的问题请教 	http://www.52im.net/thread-1642-1-1.html
77	请教下开发一套有基本加好友，可以互相聊天的手机im要多少钱？ 	http://www.52im.net/thread-604-1-1.html
78	请教下IM的聊天记录的设计问题 	http://www.52im.net/thread-3923-1-1.html
79	请教下im mobilesdk  目前是否支持web,小程序,手机客户端 多端同时在线吗 	http://www.52im.net/thread-3625-1-1.html
80	请教在netty的IM集群中，集群间通讯用短连接还是长连接处理消息转发呢 	http://www.52im.net/thread-3949-1-1.html
81	请教企业IM中TCP传输业务层需要分包吗（比如拉取员工信息） 	http://www.52im.net/thread-1319-1-1.html
83	请教个关于IM中使用批量ack应答来标记消息送达的问题 	http://www.52im.net/thread-4056-1-1.html
86	请教大家IM消息的传输加密应该怎么实现？ 	http://www.52im.net/thread-2113-1-1.html
88	请教如何学习IM的开发？ 	http://www.52im.net/thread-1122-1-1.html
89	请教web端IM中，匿名用户怎么实现查看历史消息？ 	http://www.52im.net/thread-2180-1-1.html
90	请教web端IM聊天时，在什么时机提交消息的已读回执指令合适？ 	http://www.52im.net/thread-2240-1-1.html
91	请教Web IM 浏览器端怎么与Netty服务端进行通讯 	http://www.52im.net/thread-1087-1-1.html
93	请教RabitMQ用于IM中1：1和1：N消息收发的技术可行性 	http://www.52im.net/thread-2035-1-1.html
97	请教MobileIMSDK即时通讯框架具体的通信协议格式 	http://www.52im.net/thread-393-1-1.html
100	请教ios端的IM中，APP切换后台或从后台切换回来时，需不需要做处理？ 	http://www.52im.net/thread-2328-1-1.html
101	请教IM应用的“群组”功能如何能更好的还原群体的“组织行为”？ 	http://www.52im.net/thread-2606-1-1.html
